OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,TOTPOP_CY,HHPOP_CY,FAMPOP_CY,POPDENS_CY,POPGRW10CY,TOTPOP,TOTHH,AVGHHSZ,TSPOP10_CY,TSPOP11_CY,TSPOP12_CY,TSPOP13_CY,TSPOP14_CY,TSPOP15_CY,TSPOP16_CY,TSPOP17_CY,TSPOP18_CY
70,Myers,5,NEIGHBORHOODS,9,US,70,BlockApportionment:US.BlockGroups,2.191,2.576,1,5248,5246,3962,5927.9,0.09,5248,1980,2.65,5210,5260,5303,5331,5325,5297,5301,5277,5276
71,Naylor,5,NEIGHBORHOODS,10,US,71,BlockApportionment:US.BlockGroups,2.191,2.576,1,1114,1114,871,4472.1,0.35,1114,387,2.88,1062,1014,1001,1019,1057,1088,1048,1045,1047
72,North Dodge,3,NEIGHBORHOODS,11,US,72,BlockApportionment:US.BlockGroups,2.191,2.576,1,2236,2200,1244,8748,0.55,2236,1073,2.05,2128,2128,2157,2167,2187,2176,2176,2200,2219
73,North University,6,NEIGHBORHOODS,12,US,73,BlockApportionment:US.BlockGroups,2.191,2.576,1,2032,1853,421,5487.4,-0.19,2032,894,2.07,2063,2056,2032,2048,2048,2079,2092,2097,2085
74,Oak Flower,3,NEIGHBORHOODS,13,US,74,BlockApportionment:US.BlockGroups,2.191,2.576,1,2478,2474,1400,7899.3,0.79,2478,1242,1.99,2311,2337,2347,2340,2353,2392,2451,2476,2483
75,Old Fort Lowell,2,NEIGHBORHOODS,14,US,75,BlockApportionment:US.BlockGroups,2.191,2.576,1,2241,2239,1434,2196.8,0.02,2241,1215,1.84,2221,2197,2213,2239,2257,2260,2253,2247,2237
76,Palo Verde,6,NEIGHBORHOODS,15,US,76,BlockApportionment:US.BlockGroups,2.191,2.576,1,5602,5516,3086,5656.9,0.18,5602,2737,2.02,5509,5497,5499,5473,5491,5502,5542,5574,5601
77,Panorama Estates,1,NEIGHBORHOODS,16,US,77,BlockApportionment:US.BlockGroups,2.191,2.576,1,98,98,64,1313.7,0,98,45,2.13,98,100,100,104,100,97,87,90,93
78,Westside Development,1,NEIGHBORHOODS,17,US,78,BlockApportionment:US.BlockGroups,2.191,2.576,1,4798,4784,3806,1972.9,0.37,4798,1777,2.69,4669,4735,4763,4763,4772,4774,4758,4737,4756
79,Parkway Terrace,5,NEIGHBORHOODS,18,US,79,BlockApportionment:US.BlockGroups,2.191,2.576,1,218,182,145,4176.2,0.25,218,86,2.12,212,211,213,212,212,212,214,216,217
